response,rt,scenario_type,word_type,response_binary,participant_id
r,537.0999999642372,positive,threat,1,R_42Ga7yjlA5oLJCd
r,405.19999998807907,depression,threat,1,R_42Ga7yjlA5oLJCd
u,526.3999999761581,depression,benign,0,R_42Ga7yjlA5oLJCd
r,455.60000002384186,positive,benign,1,R_42Ga7yjlA5oLJCd
r,500.5999999642372,depression,threat,1,R_42Ga7yjlA5oLJCd
u,534.2999999523163,positive,benign,0,R_42Ga7yjlA5oLJCd
r,503.39999997615814,positive,benign,1,R_42Ga7yjlA5oLJCd
r,330.0999999642372,positive,threat,1,R_42Ga7yjlA5oLJCd
r,474.9000000357628,positive,benign,1,R_42Ga7yjlA5oLJCd
r,554.0999999642372,depression,benign,1,R_42Ga7yjlA5oLJCd
r,603.2999999523163,anxiety,threat,1,R_42Ga7yjlA5oLJCd
r,467.80000001192093,positive,benign,1,R_42Ga7yjlA5oLJCd
r,539.3999999761581,anxiety,benign,1,R_42Ga7yjlA5oLJCd
r,360.5999999642372,depression,threat,1,R_42Ga7yjlA5oLJCd
r,449.5,anxiety,threat,1,R_42Ga7yjlA5oLJCd
r,399.9000000357628,positive,threat,1,R_42Ga7yjlA5oLJCd
r,446.60000002384186,anxiety,threat,1,R_42Ga7yjlA5oLJCd
r,542.8000000119209,positive,threat,1,R_42Ga7yjlA5oLJCd
r,442.69999998807907,depression,benign,1,R_42Ga7yjlA5oLJCd
r,496.60000002384186,depression,benign,1,R_42Ga7yjlA5oLJCd
r,523.6999999880791,depression,benign,1,R_42Ga7yjlA5oLJCd
r,539.9000000357628,depression,threat,1,R_42Ga7yjlA5oLJCd
r,516.0,anxiety,threat,1,R_42Ga7yjlA5oLJCd
r,554.4000000357628,positive,benign,1,R_42Ga7yjlA5oLJCd
r,562.0999999642372,anxiety,benign,1,R_42Ga7yjlA5oLJCd
r,658.8999999761581,positive,threat,1,R_42Ga7yjlA5oLJCd
r,515.1999999880791,positive,threat,1,R_42Ga7yjlA5oLJCd
r,551.8000000119209,anxiety,benign,1,R_42Ga7yjlA5oLJCd
u,690.5999999642372,anxiety,benign,0,R_42Ga7yjlA5oLJCd
r,372.60000002384186,anxiety,threat,1,R_42Ga7yjlA5oLJCd
r,628.0,positive,benign,1,R_42Ga7yjlA5oLJCd
r,477.60000002384186,anxiety,benign,1,R_42Ga7yjlA5oLJCd
r,643.0,depression,threat,1,R_42Ga7yjlA5oLJCd
r,463.2999999523163,depression,benign,1,R_42Ga7yjlA5oLJCd
r,841.3000000119209,positive,threat,1,R_42Ga7yjlA5oLJCd
u,499.0,depression,threat,0,R_42Ga7yjlA5oLJCd
r,485.39999997615814,depression,threat,1,R_42Ga7yjlA5oLJCd
r,469.39999997615814,anxiety,threat,1,R_42Ga7yjlA5oLJCd
r,347.5,positive,benign,1,R_42Ga7yjlA5oLJCd
r,357.0999999642372,positive,threat,1,R_42Ga7yjlA5oLJCd
r,388.69999998807907,anxiety,benign,1,R_42Ga7yjlA5oLJCd
